P-0518	 | -->	ตัวประคองปลอกกระสุนปืนเข้าจานล็อกปลอก 1 #3	 | -->	2	 = 	ชิ้น
P-0519	 | -->	ตัวประคองปลอกกระสุนปืนเข้าจานล็อกปลอก 1 #W	 | -->	2	 = 	ชิ้น
P-0173	 | -->	ตะกั่ว	 | -->	5	 = 	กิโลกรัม
P-0153	 | -->	เชื้อปะทุ (Raw Detonators)	 | -->	16	 = 	หลอด
P-0154	 | -->	เชื้อปะทุหน่วงเวลา (RAW DELAY DETONATORS) 	 | -->	16	 = 	หลอด
P-0520	 | -->	ตัวประคองปลอกกระสุนปืนเข้าจานล็อกปลอก 1 #4	 | -->	2	 = 	ชิ้น
P-0521	 | -->	ตัวประคองปลอกกระสุนปืนเข้าจานล็อกปลอก 1 #1	 | -->	2	 = 	ชิ้น
P-0522	 | -->	ตัวหมุนจานล็อคปลอก รุ่น XL650	 | -->	2	 = 	ชิ้น
P-0523	 | -->	ตัวดันปลอก รุ่น XL650	 | -->	2	 = 	ชิ้น
P-0524	 | -->	ตัวประคองปลอก รุ่น SD-B #10	 | -->	2	 = 	ชิ้น
P-0525	 | -->	สปริงตัวดันปลอก CASE INSERT SLIDE SPRING	 | -->	2	 = 	ชิ้น
P-0526	 | -->	ตัวปิดท้ายสปริง CASE INSERT SLIDE SPRING CAP	 | -->	2	 = 	ชิ้น
P-0527	 | -->	เสาดันสปริง รุ่น XL650	 | -->	2	 = 	ชิ้น
P-0528	 | -->	ฐานวางจานล็อกปลอก รุ่น XL 650-10	 | -->	2	 = 	ชิ้น
P-0529	 | -->	ตัวเช็คดินเวลาประกอบ รุ่น XL 650 รุ่น SUPER 1050	 | -->	2	 = 	ชิ้น
P-0530	 | -->	ตัวผลักจานล็อคปลอก ASM รุ่น SUPER 1050 B	 | -->	2	 = 	ชิ้น
P-0531	 | -->	ฟันล็อคคันโยก รุ่น SUPER 1050	 | -->	2	 = 	ชิ้น
P-0532	 | -->	น็อตจับตัวเตะจานล็อคปลอก	 | -->	2	 = 	ชิ้น
P-0533	 | -->	สปริงปลายล็อคจานปลอก RL 1000	 | -->	2	 = 	ชิ้น
P-0164	 | -->	หัวชนวน IGNITERS (FUSE HEADS) 	 | -->	8	 = 	หัว
P-0165	 | -->	หัวชนวนหน่วงเวลา DELAY IGNITERS (FUSE HEADS) 	 | -->	8	 = 	หัว
P-0257	 | -->	หัวกระสุนปืน (จริง) .25 นิ้ว	 | -->	8	 = 	หัว
P-0258	 | -->	หัวกระสุนปืน (ซ้อม) .25 นิ้ว	 | -->	8	 = 	หัว
P-0259	 | -->	หัวกระสุนปืน (จริง) .32 นิ้ว	 | -->	8	 = 	หัว
P-0260	 | -->	หัวกระสุนปืน (ซ้อม) .32 นิ้ว	 | -->	8	 = 	หัว
P-0261	 | -->	หัวกระสุนปืน (จริง) .357 นิ้ว	 | -->	8	 = 	หัว
P-0262	 | -->	หัวกระสุนปืน (ซ้อม) .357 นิ้ว	 | -->	8	 = 	หัว
P-0263	 | -->	หัวกระสุนปืน (จริง) .380 นิ้ว	 | -->	8	 = 	หัว
P-0264	 | -->	หัวกระสุนปืน (ซ้อม) .380 นิ้ว	 | -->	8	 = 	หัว
P-0265	 | -->	หัวกระสุนปืน (จริง) .38 นิ้ว 	 | -->	8	 = 	หัว
P-0266	 | -->	หัวกระสุนปืน (ซ้อม) .38 นิ้ว 	 | -->	8	 = 	หัว
P-0267	 | -->	หัวกระสุนปืน (จริง) .40 นิ้ว	 | -->	8	 = 	หัว
P-0268	 | -->	หัวกระสุนปืน (ซ้อม) .40 นิ้ว	 | -->	8	 = 	หัว
P-0269	 | -->	หัวกระสุนปืน (จริง) .44 นิ้ว	 | -->	8	 = 	หัว
P-0270	 | -->	หัวกระสุนปืน (ซ้อม) .44 นิ้ว	 | -->	8	 = 	หัว
P-0271	 | -->	หัวกระสุนปืน (จริง) .45 นิ้ว	 | -->	8	 = 	หัว
P-0272	 | -->	หัวกระสุนปืน (ซ้อม) .45 นิ้ว	 | -->	8	 = 	หัว
P-0273	 | -->	หัวกระสุนปืน (จริง) 9 มิลลิเมตร	 | -->	8	 = 	หัว
P-0274	 | -->	หัวกระสุนปืน (ซ้อม) 9 มิลลิเมตร	 | -->	8	 = 	หัว
P-0275	 | -->	หัวกระสุนปืน (จริง) 5.56 มิลลิเมตร 	 | -->	8	 = 	หัว
P-0276	 | -->	หัวกระสุนปืน (ซ้อม) 5.56 มิลลิเมตร	 | -->	8	 = 	หัว
P-0277	 | -->	หัวกระสุนปืน (จริง) 7.62 มิลลิเมตร (.308 นิ้ว)	 | -->	8	 = 	หัว
P-0278	 | -->	หัวกระสุนปืน (ซ้อม) 7.62 มิลลิเมตร	 | -->	8	 = 	หัว
P-0150	 | -->	เชื้อปะทุรอประกอบแบบ DOWN LINE (ELEMENTED CAPS) 	 | -->	1	 = 	อัน
P-0155	 | -->	ตัวถ่วงเวลา Downline 	 | -->	1	 = 	อัน
P-0156	 | -->	ตัวถ่วงเวลา Surface 	 | -->	1	 = 	อัน
P-0157	 | -->	ตัวถ่วงเวลา SURFACE DELAY (ELEMENTED CAPS) 	 | -->	1	 = 	อัน
P-0168	 | -->	ปลอกอลูมิเนียม 	 | -->	1	 = 	อัน
P-0169	 | -->	ตัวต่อสายพลาสติก (PLASTIC CONNECTOR)	 | -->	1	 = 	อัน
P-0170	 | -->	ยางอุดปากปลอกอลูมิเนียม (RUBBER PLUG) 	 | -->	1	 = 	อัน
P-0174	 | -->	หัวฟิวส์	 | -->	1	 = 	อัน
P-0308	 | -->	จอกทองเหลืองปลอกกระสุน ขนาด 9 มิลลิเมตร	 | -->	5	 = 	กิโลกรัม
P-1994	 | -->	ชนวนท้ายกระสุนปืนพกเล็ก (.357 นิ้ว, .38 นิ้ว, .380 นิ้ว, .40 นิ้ว และ 9 มิลลิเมตร)	 | -->	1	 = 	อัน
P-0311	 | -->	เชื้อปะทุ แบบ DAVEY QUICK	 | -->	13	 = 	ดอก
